统计时间,地区,省内地区,现有确诊人数,累计确诊人数,累计死亡人数,累计治愈人数
2022/05/06,河南,新乡,0,57,3,54
2022/05/06,河南,驻马店,0,143,0,143
2022/05/06,河南,鹤壁,0,19,0,19
2022/05/06,河南,济源示范区,0,5,0,5
2022/05/06,河南,南阳,0,156,3,153
2022/05/06,河南,地区待确认,-150,0,0,150
2022/05/06,四川,成都,68,319,3,248
2022/05/06,四川,境外输入,52,1317,0,1265
2022/05/06,四川,巴中,8,32,0,24
2022/05/06,四川,乐山,4,12,0,8
2022/05/06,四川,达州,2,44,0,42
2022/05/06,四川,广安,2,33,0,31
2022/05/06,四川,德阳,1,20,0,19
2022/05/06,四川,遂宁,1,22,0,21
2022/05/06,四川,阿坝,0,1,0,1
2022/05/06,四川,甘孜,0,78,0,78
2022/05/06,四川,攀枝花,0,16,0,16
2022/05/06,四川,内江,0,22,0,22
2022/05/06,四川,南充,0,39,0,39
2022/05/06,四川,绵阳,0,23,0,23
2022/05/06,四川,宜宾,0,13,0,13
2022/05/06,四川,自贡,0,10,0,10
2022/05/06,四川,泸州,0,25,0,25
2022/05/06,四川,广元,0,6,0,6
2022/05/06,四川,眉山,0,9,0,9
2022/05/06,四川,资阳,0,4,0,4
2022/05/06,四川,雅安,0,8,0,8
2022/05/06,四川,凉山,0,13,0,13
2022/05/06,四川,地区待确认,-69,0,0,69
2022/05/06,山东,济南,46,134,0,88
2022/05/06,山东,德州,6,118,2,110
2022/05/06,山东,烟台,5,91,0,86
2022/05/06,山东,日照,4,37,0,33
2022/05/06,山东,临沂,4,66,0,62
2022/05/06,山东,境外输入,4,441,0,437
2022/05/06,山东,泰安,2,45,2,41
2022/05/06,山东,滨州,1,217,0,216
2022/05/06,山东,青岛,1,992,1,990
2022/05/06,山东,聊城,0,38,0,38
2022/05/06,山东,菏泽,0,20,0,20
2022/05/06,山东,潍坊,0,52,0,52
2022/05/06,山东,淄博,0,77,1,76
2022/05/06,山东,威海,0,107,1,106
2022/05/06,山东,济宁,0,263,0,263
2022/05/06,山东,枣庄,0,33,0,33
2022/05/06,山东,东营,0,0,0,0
2022/05/06,山东,地区待确认,-8,0,0,8
2022/05/06,福建,宁德,50,76,0,26
2022/05/06,福建,莆田,47,322,0,275
2022/05/06,福建,境外输入,44,992,0,948
2022/05/06,福建,厦门,31,316,0,285
2022/05/06,福建,漳州,17,40,0,23
2022/05/06,福建,泉州,8,1187,0,1179
2022/05/06,福建,南平,3,23,0,20
2022/05/06,福建,福州,2,74,1,71
2022/05/06,福建,三明,1,15,0,14
2022/05/06,福建,龙岩,0,6,0,6
2022/05/06,福建,地区待确认,-148,0,0,148
2022/05/06,内蒙古,呼伦贝尔,42,658,0,616
2022/05/06,内蒙古,境外输入,9,347,0,338
2022/05/06,内蒙古,通辽,0,18,0,18
2022/05/06,内蒙古,呼和浩特,0,446,0,446
2022/05/06,内蒙古,阿拉善盟,0,167,0,167
2022/05/06,内蒙古,锡林郭勒,0,29,0,29
2022/05/06,内蒙古,乌兰察布,0,3,0,3
2022/05/06,内蒙古,鄂尔多斯,0,15,0,15
2022/05/06,内蒙古,兴安盟,0,3,0,3
2022/05/06,内蒙古,巴彦淖尔,0,13,1,12
2022/05/06,内蒙古,乌海,0,2,0,2
2022/05/06,内蒙古,赤峰,0,12,0,12
2022/05/06,内蒙古,包头,0,39,0,39
2022/05/06,辽宁,沈阳,90,241,0,151
2022/05/06,辽宁,营口,83,208,0,125
2022/05/06,辽宁,丹东,41,52,0,11
2022/05/06,辽宁,葫芦岛,19,227,1,207
2022/05/06,辽宁,大连,17,620,0,603
2022/05/06,辽宁,鞍山,5,19,0,14
2022/05/06,辽宁,铁岭,2,14,0,12
2022/05/06,辽宁,阜新,2,10,0,8
2022/05/06,辽宁,锦州,1,15,0,14
2022/05/06,辽宁,本溪,0,4,0,4
2022/05/06,辽宁,辽阳,0,12,0,12
2022/05/06,辽宁,朝阳市,0,7,1,6
2022/05/06,辽宁,盘锦,0,14,0,14
2022/05/06,辽宁,抚顺,0,1,0,1
2022/05/06,辽宁,境外输入,0,211,0,211
2022/05/06,辽宁,地区待确认,-223,0,0,223
2022/05/06,湖南,邵阳,51,154,1,102
2022/05/06,湖南,娄底,6,82,0,76
2022/05/06,湖南,衡阳,5,53,0,48
2022/05/06,湖南,长沙,4,273,2,267
2022/05/06,湖南,湘潭,2,41,0,39
2022/05/06,湖南,湘西自治州,2,12,0,10
2022/05/06,湖南,永州,1,45,0,44
2022/05/06,湖南,郴州,1,40,0,39
2022/05/06,湖南,境外输入,1,133,0,132
2022/05/06,湖南,张家界,0,77,0,77
2022/05/06,湖南,益阳,0,65,0,65
2022/05/06,湖南,株洲,0,110,0,110
2022/05/06,湖南,怀化,0,64,0,64
2022/05/06,湖南,常德,0,82,0,82
2022/05/06,湖南,岳阳,0,158,1,157
2022/05/06,湖南,地区待确认,-47,0,0,47
2022/05/06,江苏,徐州,74,153,0,79
2022/05/06,江苏,盐城,41,68,0,27
2022/05/06,江苏,南京,38,369,0,331
2022/05/06,江苏,常州,30,84,0,54
2022/05/06,江苏,苏州,23,228,0,205
2022/05/06,江苏,无锡,16,71,0,55
2022/05/06,江苏,宿迁,13,29,0,16
2022/05/06,江苏,镇江,12,24,0,12
2022/05/06,江苏,泰州,10,47,0,37
2022/05/06,江苏,淮安,5,83,0,78
2022/05/06,江苏,境外输入,3,227,0,224
2022/05/06,江苏,连云港,2,195,0,193
2022/05/06,江苏,扬州,1,594,0,593
2022/05/06,江苏,南通,1,41,0,40
2022/05/06,江苏,地区待确认,-246,0,0,246
2022/05/06,山西,太原,18,109,0,91
2022/05/06,山西,运城,1,33,0,32
2022/05/06,山西,阳泉,0,5,0,5
2022/05/06,山西,吕梁,0,6,0,6
2022/05/06,山西,境外输入,0,137,0,137
2022/05/06,山西,长治,0,8,0,8
2022/05/06,山西,晋城,0,11,0,11
2022/05/06,山西,忻州,0,14,0,14
2022/05/06,山西,大同,0,15,0,15
2022/05/06,山西,晋中,0,59,0,59
2022/05/06,山西,朔州,0,20,0,20
2022/05/06,山西,临汾,0,3,0,3
2022/05/06,广西,境外输入,16,959,0,943
2022/05/06,广西,北海,1,45,1,43
2022/05/06,广西,来宾,0,11,0,11
2022/05/06,广西,桂林,0,34,0,34
2022/05/06,广西,梧州,0,5,0,5
2022/05/06,广西,贵港,0,8,0,8
2022/05/06,广西,贺州,0,4,0,4
2022/05/06,广西,河池,0,28,1,27
2022/05/06,广西,地区待确认,0,0,0,0
2022/05/06,广西,柳州,0,24,0,24
2022/05/06,广西,崇左,0,2,0,2
2022/05/06,广西,南宁,0,60,0,60
2022/05/06,广西,钦州,0,27,0,27
2022/05/06,广西,防城港,0,90,0,90
2022/05/06,广西,百色,0,283,0,283
2022/05/06,广西,玉林,0,12,0,12
2022/05/06,海南,三亚,71,129,1,57
2022/05/06,海南,海口,10,51,0,41
2022/05/06,海南,陵水县,6,10,0,4
2022/05/06,海南,琼海,5,11,1,5
2022/05/06,海南,儋州,2,17,1,14
2022/05/06,海南,万宁,1,14,0,13
2022/05/06,海南,临高县,0,6,0,6
2022/05/06,海南,保亭,0,3,0,3
2022/05/06,海南,东方,0,3,1,2
2022/05/06,海南,文昌,0,3,0,3
2022/05/06,海南,昌江县,0,7,0,7
2022/05/06,海南,澄迈县,0,9,1,8
2022/05/06,海南,乐东,0,2,0,2
2022/05/06,海南,三沙,0,0,0,0
2022/05/06,海南,定安县,0,3,1,2
2022/05/06,海南,琼中县,0,1,0,1
2022/05/06,海南,境外输入,0,19,0,19
2022/05/06,海南,地区待确认,-79,0,0,79
2022/05/06,云南,红河,29,38,0,9
2022/05/06,云南,境外输入,15,1490,0,1475
2022/05/06,云南,临沧,12,13,0,1
2022/05/06,云南,文山州,8,13,0,5
2022/05/06,云南,普洱,6,10,0,4
2022/05/06,云南,昆明,6,68,0,62
2022/05/06,云南,西双版纳州,6,21,1,14
2022/05/06,云南,曲靖,2,15,0,13
2022/05/06,云南,保山市,2,11,0,9
2022/05/06,云南,昭通市,1,26,0,25
2022/05/06,云南,大理,0,13,0,13
2022/05/06,云南,德宏州,0,377,0,377
2022/05/06,云南,楚雄州,0,4,0,4
2022/05/06,云南,玉溪,0,14,1,13
2022/05/06,云南,丽江市,0,7,0,7
2022/05/06,云南,迪庆州,0,0,0,0
2022/05/06,云南,怒江州,0,0,0,0
2022/05/06,云南,地区待确认,-73,0,0,73
2022/05/06,青海,西宁,43,87,0,44
2022/05/06,青海,海东,1,5,0,4
2022/05/06,青海,海南州,0,0,0,0
2022/05/06,青海,果洛州,0,0,0,0
2022/05/06,青海,玉树州,0,0,0,0
2022/05/06,青海,海西州,0,0,0,0
2022/05/06,青海,黄南州,0,0,0,0
2022/05/06,青海,海北州,0,3,0,3
2022/05/06,青海,地区待确认,-31,0,0,31
2022/05/06,河北,廊坊,139,314,0,175
2022/05/06,河北,沧州,77,138,3,58
2022/05/06,河北,邯郸,23,64,0,41
2022/05/06,河北,唐山,19,95,1,75
2022/05/06,河北,保定,18,56,0,38
2022/05/06,河北,秦皇岛,12,22,1,9
2022/05/06,河北,定州,5,7,0,2
2022/05/06,河北,雄安新区,2,20,0,18
2022/05/06,河北,衡水,1,14,0,13
2022/05/06,河北,石家庄,1,977,1,975
2022/05/06,河北,承德,1,8,0,7
2022/05/06,河北,邢台,0,136,1,135
2022/05/06,河北,辛集市,0,71,0,71
2022/05/06,河北,张家口,0,43,0,43
2022/05/06,河北,境外输入,0,37,0,37
2022/05/06,河北,地区待确认,-285,0,0,285
2022/05/06,重庆,彭水县,4,6,0,2
2022/05/06,重庆,巫山县,1,11,0,10
2022/05/06,重庆,九龙坡区,1,23,1,21
2022/05/06,重庆,高新区,0,51,0,51
2022/05/06,重庆,涪陵区,0,5,0,5
2022/05/06,重庆,渝中区,0,20,0,20
2022/05/06,重庆,大渡口区,0,7,0,7
2022/05/06,重庆,沙坪坝区,0,10,0,10
2022/05/06,重庆,荣昌区,0,9,0,9
2022/05/06,重庆,綦江区,0,23,0,23
2022/05/06,重庆,丰都县,0,10,0,10
2022/05/06,重庆,铜梁区,0,10,0,10
2022/05/06,重庆,奉节县,0,22,0,22
2022/05/06,重庆,潼南区,0,18,0,18
2022/05/06,重庆,垫江县,0,20,0,20
2022/05/06,重庆,万州区,0,118,4,114
2022/05/06,重庆,石柱县,0,15,0,15
2022/05/06,重庆,合川区,0,23,0,23
2022/05/06,重庆,酉阳县,0,1,0,1
2022/05/06,重庆,城口县,0,2,0,2
2022/05/06,重庆,两江新区,0,18,0,18
2022/05/06,重庆,渝北区,0,20,0,20
2022/05/06,重庆,黔江区,0,2,0,2
2022/05/06,重庆,秀山县,0,1,0,1
2022/05/06,重庆,境外输入,0,45,0,45
2022/05/06,重庆,璧山区,0,9,0,9
2022/05/06,重庆,巫溪县,0,14,0,14
2022/05/06,重庆,万盛经开区,0,1,0,1
2022/05/06,重庆,开州区,0,21,1,20
2022/05/06,重庆,梁平区,0,4,0,4
2022/05/06,重庆,巴南区,0,12,0,12
2022/05/06,重庆,江津区,0,7,0,7
2022/05/06,重庆,南岸区,0,16,0,16
2022/05/06,重庆,永川区,0,9,0,9
2022/05/06,重庆,大足区,0,15,0,15
2022/05/06,重庆,江北区,0,29,0,29
2022/05/06,重庆,武隆区,0,1,0,1
2022/05/06,重庆,云阳县,0,27,0,27
2022/05/06,重庆,南川区,0,0,0,0
2022/05/06,重庆,北碚区,0,0,0,0
2022/05/06,重庆,忠县,0,21,0,21
2022/05/06,重庆,长寿区,0,24,0,24
2022/05/06,安徽,池州,4,21,0,17
2022/05/06,安徽,宣城,2,9,0,7
2022/05/06,安徽,宿州,0,42,0,42
2022/05/06,安徽,蚌埠,0,160,5,155
2022/05/06,安徽,境外输入,0,15,0,15
2022/05/06,安徽,黄山,0,9,0,9
2022/05/06,安徽,芜湖,0,40,0,40
